Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.1,levenshtein_sequence_based,0.745,0.061,0.076,0.061,0.228,0.065,0.227,0.07,0.236,0.075,0.181,0.046,0.538,0.031,0.23,0.059
kSVC_ESM-2,0.1,levenshtein_sequence_based,0.738,0.071,-0.064,0.034,0.072,0.06,0.081,0.031,0.083,0.098,0.161,0.04,0.475,0.013,0.161,0.034
LogReg_ESM-2,0.1,random_split,0.803,0.031,0.448,0.053,0.555,0.041,0.469,0.051,0.683,0.021,0.377,0.038,0.756,0.024,0.689,0.034
kSVC_ESM-2,0.1,random_split,0.791,0.014,0.226,0.044,0.344,0.034,0.393,0.049,0.308,0.033,0.245,0.02,0.602,0.018,0.28,0.032
RF_ESM-2,0.1,levenshtein_sequence_based,0.836,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.04,0.5,0.0,0.182,0.071
GBoost_ESM-2,0.1,levenshtein_sequence_based,0.835,0.042,0.056,0.053,0.029,0.014,0.468,0.283,0.015,0.007,0.17,0.034,0.505,0.004,0.211,0.042
RF_ESM-2,0.1,random_split,0.901,0.008,0.623,0.036,0.636,0.032,0.914,0.035,0.488,0.029,0.538,0.037,0.739,0.016,0.717,0.034
GBoost_ESM-2,0.1,random_split,0.898,0.009,0.613,0.037,0.65,0.031,0.83,0.041,0.534,0.025,0.528,0.038,0.755,0.015,0.692,0.033
LogReg_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.767,0.059,0.132,0.015,0.263,0.036,0.289,0.053,0.26,0.07,0.193,0.042,0.562,0.005,0.241,0.05
kSVC_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.786,0.046,0.027,0.093,0.123,0.095,0.184,0.099,0.107,0.101,0.174,0.034,0.514,0.037,0.203,0.042
LogReg_ESM-2-CDRextract,0.1,random_split,0.819,0.013,0.47,0.033,0.572,0.025,0.495,0.027,0.678,0.023,0.394,0.025,0.764,0.017,0.697,0.027
kSVC_ESM-2-CDRextract,0.1,random_split,0.809,0.005,0.258,0.023,0.359,0.024,0.444,0.019,0.302,0.028,0.259,0.012,0.61,0.012,0.314,0.017
RF_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.836,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.04,0.5,0.0,0.168,0.053
GBoost_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.833,0.043,0.014,0.047,0.019,0.021,0.19,0.185,0.01,0.011,0.166,0.038,0.502,0.006,0.201,0.046
RF_ESM-2-CDRextract,0.1,random_split,0.905,0.005,0.643,0.022,0.657,0.019,0.924,0.028,0.509,0.016,0.558,0.024,0.75,0.009,0.722,0.031
GBoost_ESM-2-CDRextract,0.1,random_split,0.904,0.011,0.64,0.045,0.667,0.038,0.878,0.05,0.538,0.031,0.556,0.047,0.761,0.019,0.713,0.033
