Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.05,levenshtein_sequence_based,0.787,0.059,0.263,0.094,0.388,0.126,0.372,0.146,0.432,0.163,0.261,0.126,0.637,0.044,0.387,0.143
kSVC_ESM-2,0.05,levenshtein_sequence_based,0.783,0.06,0.067,0.056,0.164,0.07,0.243,0.127,0.138,0.055,0.188,0.089,0.529,0.019,0.215,0.112
LogReg_ESM-2,0.05,random_split,0.814,0.013,0.465,0.04,0.568,0.031,0.485,0.026,0.684,0.04,0.389,0.029,0.764,0.023,0.692,0.026
kSVC_ESM-2,0.05,random_split,0.792,0.01,0.179,0.041,0.288,0.036,0.369,0.042,0.236,0.033,0.224,0.016,0.574,0.018,0.286,0.023
RF_ESM-2,0.05,levenshtein_sequence_based,0.827,0.089,0.132,0.095,0.071,0.05,0.782,0.281,0.038,0.027,0.201,0.064,0.516,0.016,0.342,0.139
GBoost_ESM-2,0.05,levenshtein_sequence_based,0.825,0.093,0.18,0.078,0.163,0.069,0.651,0.197,0.1,0.052,0.217,0.07,0.536,0.017,0.348,0.144
RF_ESM-2,0.05,random_split,0.9,0.004,0.622,0.019,0.631,0.018,0.923,0.032,0.48,0.021,0.535,0.019,0.735,0.01,0.71,0.023
GBoost_ESM-2,0.05,random_split,0.894,0.012,0.597,0.047,0.634,0.036,0.821,0.06,0.517,0.024,0.512,0.045,0.746,0.017,0.694,0.033
LogReg_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.79,0.064,0.264,0.147,0.388,0.168,0.371,0.189,0.431,0.192,0.269,0.154,0.636,0.065,0.379,0.171
kSVC_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.777,0.071,0.06,0.036,0.137,0.049,0.294,0.183,0.126,0.08,0.183,0.081,0.523,0.02,0.291,0.156
LogReg_ESM-2-CDRextract,0.05,random_split,0.826,0.007,0.492,0.021,0.589,0.016,0.508,0.015,0.7,0.022,0.409,0.016,0.777,0.012,0.707,0.021
kSVC_ESM-2-CDRextract,0.05,random_split,0.827,0.006,0.317,0.04,0.398,0.044,0.522,0.025,0.323,0.051,0.29,0.024,0.63,0.023,0.337,0.019
RF_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.829,0.085,0.156,0.075,0.07,0.055,0.967,0.067,0.037,0.03,0.204,0.064,0.518,0.015,0.324,0.128
GBoost_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.84,0.07,0.223,0.099,0.197,0.123,0.659,0.068,0.123,0.084,0.237,0.099,0.555,0.037,0.389,0.153
RF_ESM-2-CDRextract,0.05,random_split,0.899,0.004,0.615,0.019,0.623,0.017,0.924,0.028,0.47,0.017,0.529,0.02,0.731,0.009,0.723,0.02
GBoost_ESM-2-CDRextract,0.05,random_split,0.902,0.006,0.632,0.025,0.66,0.019,0.868,0.034,0.533,0.012,0.546,0.027,0.758,0.008,0.716,0.022
LogReg_3-mer,0.05,levenshtein_sequence_based,0.718,0.066,0.144,0.108,0.301,0.133,0.265,0.122,0.395,0.178,0.215,0.108,0.583,0.057,0.368,0.132
kSVC_3-mer,0.05,levenshtein_sequence_based,0.844,0.059,0.243,0.119,0.243,0.199,0.639,0.142,0.192,0.2,0.248,0.135,0.579,0.075,0.377,0.168
LogReg_3-mer,0.05,random_split,0.809,0.034,0.427,0.077,0.537,0.058,0.484,0.09,0.614,0.042,0.367,0.06,0.733,0.03,0.582,0.074
kSVC_3-mer,0.05,random_split,0.898,0.005,0.614,0.02,0.634,0.018,0.886,0.033,0.494,0.019,0.528,0.021,0.74,0.01,0.678,0.034
RF_3-mer,0.05,levenshtein_sequence_based,0.847,0.055,0.242,0.13,0.215,0.218,0.788,0.223,0.169,0.204,0.248,0.147,0.572,0.082,0.378,0.18
GBoost_3-mer,0.05,levenshtein_sequence_based,0.822,0.061,0.18,0.101,0.238,0.17,0.437,0.178,0.201,0.172,0.223,0.119,0.571,0.059,0.297,0.135
RF_3-mer,0.05,random_split,0.907,0.006,0.651,0.027,0.674,0.022,0.894,0.04,0.542,0.021,0.566,0.029,0.764,0.011,0.725,0.027
GBoost_3-mer,0.05,random_split,0.9,0.013,0.628,0.049,0.668,0.036,0.825,0.072,0.562,0.022,0.543,0.049,0.768,0.016,0.702,0.045
LogReg_Antiberty,0.05,levenshtein_sequence_based,0.789,0.034,0.262,0.126,0.385,0.159,0.361,0.159,0.435,0.176,0.264,0.148,0.64,0.063,0.355,0.113
kSVC_Antiberty,0.05,levenshtein_sequence_based,0.789,0.053,0.161,0.14,0.23,0.196,0.421,0.258,0.231,0.188,0.223,0.142,0.566,0.073,0.297,0.19
LogReg_Antiberty,0.05,random_split,0.806,0.014,0.46,0.037,0.564,0.029,0.471,0.026,0.703,0.038,0.384,0.027,0.766,0.021,0.685,0.027
kSVC_Antiberty,0.05,random_split,0.837,0.013,0.348,0.052,0.413,0.05,0.581,0.068,0.323,0.05,0.309,0.033,0.636,0.023,0.48,0.03
RF_Antiberty,0.05,levenshtein_sequence_based,0.851,0.061,0.291,0.122,0.272,0.188,0.73,0.109,0.198,0.181,0.273,0.129,0.586,0.07,0.378,0.125
GBoost_Antiberty,0.05,levenshtein_sequence_based,0.828,0.058,0.204,0.134,0.265,0.178,0.425,0.148,0.221,0.183,0.238,0.136,0.582,0.071,0.324,0.149
RF_Antiberty,0.05,random_split,0.906,0.003,0.647,0.014,0.662,0.015,0.918,0.021,0.519,0.02,0.562,0.015,0.754,0.009,0.723,0.025
GBoost_Antiberty,0.05,random_split,0.899,0.003,0.62,0.011,0.656,0.01,0.837,0.039,0.541,0.025,0.533,0.011,0.759,0.009,0.696,0.028
