Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.1,levenshtein_sequence_based,0.811,0.034,0.26,0.163,0.346,0.172,0.356,0.175,0.39,0.197,0.241,0.117,0.635,0.099,0.339,0.145
kSVC_ESM-2,0.1,levenshtein_sequence_based,0.809,0.029,0.124,0.161,0.2,0.178,0.273,0.191,0.201,0.168,0.186,0.111,0.555,0.081,0.248,0.143
LogReg_ESM-2,0.1,random_split,0.887,0.015,0.638,0.037,0.691,0.031,0.593,0.042,0.829,0.025,0.518,0.037,0.863,0.016,0.783,0.02
kSVC_ESM-2,0.1,random_split,0.834,0.014,0.304,0.064,0.396,0.058,0.442,0.055,0.36,0.062,0.259,0.041,0.64,0.032,0.326,0.028
RF_ESM-2,0.1,levenshtein_sequence_based,0.858,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.07,0.5,0.0,0.249,0.115
GBoost_ESM-2,0.1,levenshtein_sequence_based,0.857,0.071,0.046,0.079,0.02,0.026,0.425,0.472,0.01,0.014,0.15,0.062,0.504,0.008,0.25,0.098
RF_ESM-2,0.1,random_split,0.936,0.005,0.733,0.024,0.756,0.028,0.893,0.02,0.658,0.051,0.639,0.028,0.822,0.024,0.815,0.025
GBoost_ESM-2,0.1,random_split,0.938,0.004,0.744,0.022,0.772,0.024,0.875,0.02,0.693,0.045,0.652,0.025,0.837,0.021,0.807,0.02
LogReg_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.813,0.068,0.263,0.226,0.362,0.214,0.35,0.201,0.397,0.213,0.26,0.143,0.637,0.121,0.355,0.191
kSVC_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.819,0.051,0.123,0.155,0.19,0.165,0.247,0.161,0.191,0.148,0.185,0.079,0.56,0.066,0.251,0.096
LogReg_ESM-2-CDRextract,0.1,random_split,0.887,0.006,0.637,0.014,0.69,0.012,0.594,0.02,0.825,0.024,0.516,0.015,0.862,0.009,0.775,0.027
kSVC_ESM-2-CDRextract,0.1,random_split,0.866,0.006,0.431,0.023,0.501,0.019,0.58,0.029,0.442,0.017,0.341,0.018,0.692,0.009,0.472,0.032
RF_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.859,0.07,0.038,0.076,0.014,0.029,0.2,0.4,0.007,0.015,0.149,0.06,0.504,0.007,0.241,0.104
GBoost_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.863,0.068,0.12,0.136,0.102,0.112,0.321,0.33,0.061,0.068,0.175,0.086,0.528,0.033,0.296,0.144
RF_ESM-2-CDRextract,0.1,random_split,0.94,0.003,0.749,0.015,0.772,0.018,0.901,0.024,0.678,0.04,0.659,0.017,0.832,0.018,0.825,0.02
GBoost_ESM-2-CDRextract,0.1,random_split,0.939,0.002,0.751,0.009,0.778,0.008,0.877,0.038,0.702,0.03,0.659,0.011,0.842,0.012,0.827,0.02
LogReg_3-mer,0.1,levenshtein_sequence_based,0.82,0.101,0.142,0.147,0.218,0.101,0.34,0.189,0.18,0.069,0.184,0.076,0.552,0.058,0.303,0.145
kSVC_3-mer,0.1,levenshtein_sequence_based,0.858,0.07,0.126,0.109,0.106,0.115,0.477,0.333,0.072,0.087,0.171,0.061,0.532,0.04,0.294,0.111
LogReg_3-mer,0.1,random_split,0.913,0.026,0.693,0.059,0.74,0.051,0.697,0.091,0.798,0.028,0.586,0.066,0.866,0.016,0.778,0.023
