Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.1,levenshtein_sequence_based,0.787,0.069,0.227,0.218,0.316,0.219,0.335,0.24,0.382,0.303,0.252,0.14,0.619,0.122,0.375,0.223
kSVC_ESM-2,0.1,levenshtein_sequence_based,0.86,0.047,0.254,0.171,0.237,0.189,0.607,0.243,0.176,0.171,0.249,0.123,0.58,0.077,0.351,0.202
LogReg_ESM-2,0.1,random_split,0.886,0.005,0.625,0.011,0.681,0.009,0.588,0.014,0.809,0.016,0.505,0.011,0.854,0.007,0.766,0.014
kSVC_ESM-2,0.1,random_split,0.863,0.016,0.391,0.07,0.452,0.06,0.577,0.09,0.376,0.061,0.313,0.048,0.663,0.032,0.451,0.074
RF_ESM-2,0.1,levenshtein_sequence_based,0.866,0.054,0.133,0.266,0.133,0.267,0.2,0.4,0.1,0.2,0.234,0.193,0.55,0.1,0.284,0.175
GBoost_ESM-2,0.1,levenshtein_sequence_based,0.851,0.05,0.177,0.187,0.184,0.184,0.401,0.379,0.143,0.159,0.222,0.116,0.561,0.068,0.328,0.177
RF_ESM-2,0.1,random_split,0.925,0.006,0.676,0.029,0.698,0.032,0.881,0.007,0.579,0.045,0.574,0.033,0.783,0.022,0.796,0.018
GBoost_ESM-2,0.1,random_split,0.928,0.006,0.695,0.031,0.726,0.031,0.844,0.021,0.638,0.045,0.593,0.035,0.809,0.022,0.796,0.022
LogReg_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.818,0.075,0.252,0.259,0.31,0.242,0.394,0.356,0.342,0.312,0.278,0.188,0.621,0.118,0.383,0.237
kSVC_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.849,0.042,0.267,0.199,0.298,0.226,0.437,0.267,0.303,0.29,0.265,0.135,0.624,0.115,0.39,0.187
LogReg_ESM-2-CDRextract,0.1,random_split,0.867,0.01,0.582,0.015,0.644,0.014,0.541,0.025,0.797,0.028,0.461,0.016,0.838,0.009,0.739,0.035
kSVC_ESM-2-CDRextract,0.1,random_split,0.887,0.007,0.515,0.039,0.571,0.04,0.667,0.02,0.501,0.053,0.41,0.034,0.728,0.025,0.553,0.036
RF_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.844,0.058,0.015,0.046,0.005,0.01,0.2,0.4,0.002,0.005,0.157,0.058,0.5,0.003,0.333,0.204
GBoost_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.871,0.055,0.26,0.267,0.252,0.276,0.568,0.342,0.186,0.211,0.284,0.187,0.589,0.105,0.352,0.204
RF_ESM-2-CDRextract,0.1,random_split,0.932,0.008,0.709,0.037,0.726,0.039,0.915,0.019,0.603,0.048,0.613,0.044,0.797,0.024,0.797,0.017
GBoost_ESM-2-CDRextract,0.1,random_split,0.934,0.003,0.725,0.015,0.752,0.016,0.876,0.032,0.661,0.035,0.629,0.018,0.822,0.015,0.815,0.012
LogReg_3-mer,0.1,levenshtein_sequence_based,0.849,0.053,0.323,0.247,0.357,0.238,0.49,0.36,0.358,0.293,0.31,0.19,0.646,0.114,0.422,0.227
kSVC_3-mer,0.1,levenshtein_sequence_based,0.857,0.049,0.277,0.244,0.284,0.254,0.516,0.357,0.263,0.27,0.283,0.182,0.614,0.116,0.452,0.217
LogReg_3-mer,0.1,random_split,0.921,0.006,0.712,0.012,0.756,0.011,0.712,0.03,0.809,0.021,0.604,0.016,0.875,0.007,0.785,0.014
kSVC_3-mer,0.1,random_split,0.933,0.005,0.721,0.025,0.754,0.025,0.843,0.026,0.683,0.044,0.624,0.029,0.83,0.02,0.762,0.019
RF_3-mer,0.1,levenshtein_sequence_based,0.855,0.053,0.091,0.183,0.08,0.16,0.2,0.4,0.05,0.1,0.195,0.119,0.525,0.05,0.475,0.302
GBoost_3-mer,0.1,levenshtein_sequence_based,0.855,0.045,0.168,0.183,0.178,0.157,0.42,0.382,0.113,0.099,0.218,0.121,0.549,0.049,0.3,0.166
RF_3-mer,0.1,random_split,0.937,0.006,0.74,0.026,0.773,0.024,0.843,0.027,0.715,0.041,0.646,0.03,0.845,0.019,0.813,0.019
GBoost_3-mer,0.1,random_split,0.93,0.005,0.713,0.022,0.75,0.02,0.812,0.037,0.699,0.041,0.612,0.026,0.835,0.018,0.783,0.032
LogReg_Antiberty,0.1,levenshtein_sequence_based,0.809,0.052,0.264,0.13,0.37,0.132,0.378,0.134,0.38,0.137,0.251,0.103,0.633,0.07,0.381,0.19
kSVC_Antiberty,0.1,levenshtein_sequence_based,0.839,0.05,0.196,0.189,0.252,0.19,0.393,0.24,0.2,0.172,0.233,0.113,0.577,0.085,0.321,0.18
LogReg_Antiberty,0.1,random_split,0.844,0.017,0.555,0.021,0.616,0.02,0.493,0.032,0.826,0.026,0.432,0.021,0.837,0.007,0.688,0.05
kSVC_Antiberty,0.1,random_split,0.871,0.01,0.43,0.038,0.489,0.031,0.611,0.055,0.409,0.026,0.339,0.03,0.681,0.015,0.506,0.025
RF_Antiberty,0.1,levenshtein_sequence_based,0.867,0.055,0.186,0.247,0.157,0.257,0.533,0.452,0.112,0.195,0.242,0.188,0.556,0.097,0.374,0.208
GBoost_Antiberty,0.1,levenshtein_sequence_based,0.868,0.054,0.221,0.248,0.21,0.244,0.493,0.374,0.145,0.185,0.257,0.185,0.569,0.094,0.356,0.216
RF_Antiberty,0.1,random_split,0.925,0.003,0.686,0.017,0.718,0.019,0.835,0.012,0.631,0.033,0.583,0.018,0.805,0.015,0.763,0.024
GBoost_Antiberty,0.1,random_split,0.925,0.005,0.688,0.026,0.726,0.027,0.806,0.027,0.663,0.049,0.584,0.029,0.817,0.022,0.754,0.028
