Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_GEX_2000_var,0.1,levenshtein_sequence_based,0.944,0.007,0.825,0.049,0.85,0.057,0.764,0.086,0.966,0.026,0.744,0.088,0.952,0.012,0.973,0.018
kSVC_GEX_2000_var,0.1,levenshtein_sequence_based,0.978,0.009,0.927,0.024,0.939,0.021,0.978,0.013,0.903,0.034,0.902,0.035,0.95,0.018,0.982,0.018
LogReg_GEX_2000_var,0.1,random_split,0.949,0.009,0.858,0.02,0.884,0.017,0.81,0.032,0.975,0.01,0.794,0.029,0.959,0.005,0.981,0.005
kSVC_GEX_2000_var,0.1,random_split,0.977,0.001,0.927,0.005,0.94,0.004,0.979,0.013,0.904,0.014,0.904,0.006,0.95,0.006,0.985,0.001
RF_GEX_2000_var,0.1,levenshtein_sequence_based,0.936,0.032,0.792,0.065,0.807,0.06,1.0,0.0,0.68,0.09,0.744,0.069,0.84,0.045,0.972,0.023
GBoost_GEX_2000_var,0.1,levenshtein_sequence_based,0.98,0.012,0.936,0.035,0.947,0.03,0.992,0.01,0.907,0.05,0.919,0.049,0.953,0.026,0.989,0.009
RF_GEX_2000_var,0.1,random_split,0.929,0.008,0.767,0.028,0.781,0.03,0.997,0.006,0.643,0.041,0.712,0.033,0.821,0.021,0.973,0.008
GBoost_GEX_2000_var,0.1,random_split,0.98,0.005,0.937,0.015,0.948,0.013,0.994,0.008,0.906,0.024,0.919,0.019,0.952,0.012,0.987,0.003
LogReg_3-mer,0.1,levenshtein_sequence_based,0.751,0.046,0.245,0.155,0.389,0.154,0.36,0.157,0.451,0.171,0.278,0.129,0.631,0.08,0.406,0.182
kSVC_3-mer,0.1,levenshtein_sequence_based,0.857,0.05,0.434,0.102,0.424,0.123,0.83,0.103,0.296,0.112,0.379,0.104,0.641,0.055,0.522,0.123
LogReg_3-mer,0.1,random_split,0.839,0.011,0.548,0.02,0.643,0.015,0.578,0.028,0.727,0.024,0.474,0.017,0.797,0.009,0.738,0.019
kSVC_3-mer,0.1,random_split,0.907,0.006,0.687,0.023,0.716,0.023,0.917,0.037,0.588,0.032,0.621,0.026,0.787,0.015,0.783,0.014
RF_3-mer,0.1,levenshtein_sequence_based,0.817,0.068,0.113,0.154,0.099,0.122,0.383,0.371,0.059,0.073,0.225,0.088,0.527,0.036,0.398,0.138
GBoost_3-mer,0.1,levenshtein_sequence_based,0.812,0.059,0.154,0.181,0.201,0.174,0.386,0.275,0.141,0.124,0.248,0.107,0.554,0.061,0.318,0.142
RF_3-mer,0.1,random_split,0.92,0.007,0.734,0.026,0.762,0.023,0.934,0.02,0.643,0.024,0.672,0.03,0.816,0.013,0.808,0.009
GBoost_3-mer,0.1,random_split,0.913,0.007,0.71,0.024,0.749,0.02,0.883,0.025,0.651,0.02,0.645,0.027,0.815,0.011,0.792,0.017
LogReg_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.874,0.046,0.676,0.085,0.723,0.1,0.611,0.136,0.92,0.048,0.573,0.123,0.89,0.018,0.897,0.052
kSVC_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.919,0.029,0.701,0.081,0.707,0.097,0.973,0.026,0.566,0.128,0.628,0.11,0.781,0.062,0.92,0.041
LogReg_GEX_2000_var_3-mer,0.1,random_split,0.94,0.005,0.828,0.011,0.861,0.009,0.793,0.02,0.943,0.011,0.759,0.015,0.941,0.004,0.957,0.008
kSVC_GEX_2000_var_3-mer,0.1,random_split,0.945,0.005,0.82,0.018,0.841,0.016,0.979,0.017,0.737,0.021,0.774,0.023,0.867,0.011,0.957,0.005
RF_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.89,0.055,0.625,0.088,0.612,0.094,1.0,0.0,0.447,0.093,0.557,0.044,0.724,0.047,0.932,0.042
GBoost_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.97,0.016,0.902,0.039,0.918,0.033,0.978,0.005,0.867,0.062,0.875,0.049,0.931,0.031,0.972,0.022
RF_GEX_2000_var_3-mer,0.1,random_split,0.939,0.004,0.801,0.014,0.82,0.015,0.987,0.012,0.702,0.023,0.752,0.017,0.85,0.011,0.96,0.012
GBoost_GEX_2000_var_3-mer,0.1,random_split,0.973,0.006,0.916,0.018,0.929,0.015,0.987,0.013,0.878,0.018,0.891,0.024,0.938,0.01,0.982,0.006
