Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_GEX_2000_var,0.05,levenshtein_sequence_based,0.687,0.015,0.086,0.036,0.255,0.038,0.198,0.036,0.364,0.036,0.167,0.027,0.554,0.022,0.186,0.039
kSVC_GEX_2000_var,0.05,levenshtein_sequence_based,0.85,0.023,0.023,0.019,0.017,0.011,0.27,0.08,0.009,0.006,0.149,0.023,0.502,0.003,0.169,0.037
LogReg_GEX_2000_var,0.05,random_split,0.687,0.012,0.088,0.036,0.26,0.028,0.201,0.021,0.367,0.044,0.169,0.009,0.555,0.023,0.189,0.008
kSVC_GEX_2000_var,0.05,random_split,0.848,0.001,0.009,0.018,0.009,0.004,0.213,0.122,0.005,0.002,0.15,0.0,0.501,0.001,0.18,0.013
RF_GEX_2000_var,0.05,levenshtein_sequence_based,0.852,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.023,0.5,0.0,0.202,0.033
GBoost_GEX_2000_var,0.05,levenshtein_sequence_based,0.841,0.016,0.05,0.021,0.068,0.015,0.276,0.08,0.04,0.01,0.153,0.026,0.51,0.004,0.203,0.036
RF_GEX_2000_var,0.05,random_split,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.5,0.0,0.203,0.02
GBoost_GEX_2000_var,0.05,random_split,0.838,0.006,0.04,0.039,0.066,0.027,0.245,0.091,0.038,0.016,0.155,0.005,0.509,0.008,0.208,0.014
LogReg_3-mer,0.05,levenshtein_sequence_based,0.787,0.013,0.298,0.09,0.413,0.089,0.345,0.079,0.515,0.1,0.255,0.069,0.673,0.049,0.455,0.094
kSVC_3-mer,0.05,levenshtein_sequence_based,0.884,0.021,0.432,0.073,0.417,0.091,0.799,0.022,0.288,0.089,0.336,0.069,0.638,0.043,0.569,0.085
LogReg_3-mer,0.05,random_split,0.849,0.009,0.51,0.017,0.586,0.014,0.499,0.021,0.713,0.016,0.398,0.015,0.793,0.007,0.649,0.02
kSVC_3-mer,0.05,random_split,0.925,0.004,0.677,0.017,0.697,0.01,0.885,0.044,0.576,0.011,0.573,0.02,0.781,0.003,0.742,0.027
RF_3-mer,0.05,levenshtein_sequence_based,0.876,0.028,0.347,0.142,0.281,0.159,0.876,0.104,0.177,0.12,0.285,0.101,0.587,0.06,0.567,0.132
GBoost_3-mer,0.05,levenshtein_sequence_based,0.874,0.025,0.355,0.103,0.329,0.129,0.755,0.062,0.221,0.111,0.285,0.074,0.605,0.053,0.487,0.089
RF_3-mer,0.05,random_split,0.938,0.003,0.736,0.012,0.757,0.01,0.909,0.025,0.649,0.016,0.642,0.016,0.819,0.007,0.796,0.02
GBoost_3-mer,0.05,random_split,0.931,0.006,0.708,0.026,0.738,0.02,0.857,0.044,0.649,0.016,0.609,0.031,0.815,0.009,0.768,0.027
LogReg_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.802,0.009,0.365,0.078,0.466,0.079,0.382,0.067,0.599,0.098,0.293,0.068,0.716,0.045,0.501,0.092
kSVC_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.879,0.024,0.399,0.079,0.378,0.093,0.783,0.05,0.254,0.085,0.312,0.064,0.621,0.042,0.562,0.08
LogReg_GEX_2000_var_3-mer,0.05,random_split,0.843,0.008,0.518,0.02,0.591,0.016,0.485,0.015,0.755,0.027,0.403,0.016,0.807,0.013,0.71,0.028
kSVC_GEX_2000_var_3-mer,0.05,random_split,0.924,0.003,0.669,0.01,0.691,0.008,0.878,0.035,0.571,0.019,0.565,0.012,0.778,0.007,0.749,0.023
RF_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.867,0.028,0.265,0.131,0.185,0.141,0.867,0.121,0.111,0.097,0.234,0.077,0.555,0.048,0.501,0.15
GBoost_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.872,0.026,0.343,0.124,0.343,0.134,0.666,0.115,0.24,0.119,0.282,0.089,0.611,0.058,0.452,0.129
RF_GEX_2000_var_3-mer,0.05,random_split,0.923,0.003,0.665,0.014,0.673,0.011,0.924,0.025,0.53,0.012,0.56,0.015,0.761,0.006,0.767,0.015
GBoost_GEX_2000_var_3-mer,0.05,random_split,0.919,0.004,0.652,0.014,0.685,0.009,0.823,0.031,0.588,0.004,0.545,0.016,0.783,0.001,0.737,0.023
LogReg_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.585,0.011,0.1,0.03,0.28,0.037,0.189,0.031,0.548,0.038,0.171,0.027,0.57,0.02,0.191,0.032
kSVC_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.768,0.014,0.0,0.018,0.13,0.013,0.147,0.019,0.12,0.023,0.148,0.022,0.501,0.008,0.144,0.021
LogReg_GEX_2000_var_pca,0.05,random_split,0.58,0.007,0.099,0.007,0.283,0.005,0.19,0.003,0.554,0.014,0.172,0.002,0.569,0.005,0.203,0.006
kSVC_GEX_2000_var_pca,0.05,random_split,0.777,0.02,0.003,0.037,0.124,0.021,0.156,0.04,0.104,0.012,0.151,0.004,0.5,0.016,0.155,0.011
RF_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.851,0.023,0.008,0.027,0.005,0.007,0.2,0.245,0.003,0.003,0.149,0.024,0.501,0.002,0.177,0.033
GBoost_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.843,0.023,0.014,0.027,0.035,0.013,0.191,0.091,0.019,0.007,0.149,0.025,0.502,0.004,0.182,0.036
