Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_GEX_2000_var,0.1,levenshtein_sequence_based,0.931,0.016,0.693,0.087,0.707,0.103,0.595,0.148,0.902,0.029,0.548,0.14,0.918,0.019,0.859,0.056
kSVC_GEX_2000_var,0.1,levenshtein_sequence_based,0.964,0.02,0.803,0.031,0.812,0.034,0.943,0.048,0.717,0.056,0.708,0.058,0.857,0.027,0.92,0.04
LogReg_GEX_2000_var,0.1,random_split,0.946,0.008,0.775,0.029,0.794,0.026,0.693,0.032,0.93,0.018,0.653,0.038,0.939,0.012,0.916,0.021
kSVC_GEX_2000_var,0.1,random_split,0.972,0.006,0.853,0.035,0.859,0.037,0.983,0.017,0.765,0.061,0.778,0.049,0.882,0.03,0.953,0.013
RF_GEX_2000_var,0.1,levenshtein_sequence_based,0.9,0.07,0.372,0.124,0.273,0.133,1.0,0.0,0.165,0.088,0.264,0.046,0.582,0.044,0.835,0.05
GBoost_GEX_2000_var,0.1,levenshtein_sequence_based,0.96,0.025,0.789,0.03,0.795,0.028,0.966,0.031,0.678,0.048,0.692,0.035,0.838,0.024,0.927,0.029
RF_GEX_2000_var,0.1,random_split,0.907,0.003,0.388,0.03,0.286,0.037,1.0,0.0,0.168,0.025,0.261,0.022,0.584,0.013,0.857,0.034
GBoost_GEX_2000_var,0.1,random_split,0.964,0.004,0.807,0.024,0.809,0.026,0.992,0.01,0.684,0.037,0.714,0.034,0.842,0.018,0.949,0.009
LogReg_3-mer,0.1,levenshtein_sequence_based,0.851,0.04,0.246,0.17,0.323,0.193,0.299,0.181,0.372,0.217,0.205,0.15,0.635,0.095,0.34,0.216
kSVC_3-mer,0.1,levenshtein_sequence_based,0.897,0.049,0.234,0.11,0.21,0.103,0.559,0.234,0.132,0.067,0.181,0.12,0.561,0.033,0.356,0.191
LogReg_3-mer,0.1,random_split,0.889,0.017,0.59,0.046,0.627,0.041,0.507,0.047,0.824,0.037,0.438,0.046,0.861,0.022,0.754,0.05
kSVC_3-mer,0.1,random_split,0.953,0.007,0.748,0.039,0.764,0.039,0.879,0.066,0.681,0.06,0.633,0.052,0.834,0.028,0.807,0.04
RF_3-mer,0.1,levenshtein_sequence_based,0.887,0.069,0.025,0.05,0.007,0.014,0.2,0.4,0.003,0.007,0.116,0.068,0.502,0.003,0.26,0.156
GBoost_3-mer,0.1,levenshtein_sequence_based,0.882,0.068,0.058,0.048,0.049,0.03,0.288,0.195,0.029,0.019,0.12,0.066,0.51,0.007,0.247,0.141
RF_3-mer,0.1,random_split,0.961,0.009,0.79,0.052,0.804,0.05,0.902,0.046,0.73,0.075,0.689,0.071,0.86,0.037,0.847,0.046
GBoost_3-mer,0.1,random_split,0.961,0.006,0.792,0.034,0.81,0.034,0.877,0.029,0.757,0.064,0.69,0.045,0.872,0.031,0.83,0.048
LogReg_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.878,0.02,0.557,0.086,0.577,0.113,0.439,0.113,0.868,0.084,0.398,0.125,0.871,0.032,0.739,0.137
kSVC_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.925,0.032,0.476,0.165,0.441,0.194,0.853,0.181,0.313,0.162,0.353,0.179,0.654,0.081,0.719,0.171
LogReg_GEX_2000_var_3-mer,0.1,random_split,0.912,0.008,0.693,0.013,0.709,0.015,0.565,0.03,0.954,0.036,0.544,0.017,0.93,0.013,0.922,0.028
kSVC_GEX_2000_var_3-mer,0.1,random_split,0.972,0.006,0.852,0.03,0.863,0.029,0.934,0.043,0.805,0.05,0.773,0.044,0.899,0.024,0.93,0.02
RF_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.889,0.07,0.109,0.102,0.046,0.052,0.6,0.49,0.024,0.028,0.136,0.059,0.512,0.014,0.68,0.138
GBoost_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.921,0.048,0.531,0.063,0.47,0.076,1.0,0.0,0.31,0.068,0.389,0.071,0.655,0.034,0.896,0.056
RF_GEX_2000_var_3-mer,0.1,random_split,0.95,0.004,0.725,0.026,0.723,0.027,0.965,0.03,0.578,0.032,0.605,0.032,0.788,0.016,0.908,0.035
GBoost_GEX_2000_var_3-mer,0.1,random_split,0.975,0.005,0.868,0.028,0.875,0.028,0.98,0.018,0.792,0.046,0.8,0.041,0.895,0.023,0.967,0.013
