Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-3,0.05,levenshtein_sequence_based,0.776,0.047,0.198,0.075,0.324,0.057,0.328,0.046,0.337,0.09,0.226,0.04,0.603,0.044,0.335,0.079
kSVC_ESM-3,0.05,levenshtein_sequence_based,0.724,0.041,0.084,0.092,0.217,0.114,0.203,0.052,0.29,0.191,0.192,0.051,0.556,0.052,0.187,0.033
LogReg_ESM-3,0.05,random_split,0.814,0.016,0.468,0.033,0.57,0.026,0.486,0.031,0.691,0.021,0.391,0.025,0.766,0.016,0.691,0.023
kSVC_ESM-3,0.05,random_split,0.755,0.016,0.099,0.062,0.241,0.057,0.269,0.054,0.22,0.06,0.201,0.018,0.546,0.03,0.238,0.016
RF_ESM-3,0.05,levenshtein_sequence_based,0.833,0.056,0.069,0.067,0.024,0.026,0.5,0.447,0.012,0.013,0.178,0.052,0.506,0.007,0.295,0.072
GBoost_ESM-3,0.05,levenshtein_sequence_based,0.837,0.053,0.178,0.025,0.121,0.02,0.691,0.12,0.067,0.012,0.203,0.051,0.53,0.006,0.347,0.072
RF_ESM-3,0.05,random_split,0.9,0.007,0.621,0.029,0.63,0.033,0.921,0.009,0.48,0.037,0.535,0.031,0.735,0.019,0.711,0.03
GBoost_ESM-3,0.05,random_split,0.898,0.007,0.612,0.03,0.642,0.03,0.852,0.022,0.516,0.032,0.526,0.031,0.748,0.017,0.711,0.021
