Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-3,0.1,levenshtein_sequence_based,0.745,0.068,0.073,0.104,0.223,0.079,0.228,0.088,0.226,0.09,0.184,0.046,0.536,0.053,0.235,0.07
kSVC_ESM-3,0.1,levenshtein_sequence_based,0.705,0.072,0.022,0.109,0.19,0.102,0.184,0.101,0.215,0.106,0.176,0.052,0.508,0.058,0.178,0.058
LogReg_ESM-3,0.1,random_split,0.814,0.016,0.468,0.033,0.57,0.026,0.486,0.031,0.691,0.021,0.391,0.025,0.766,0.016,0.691,0.023
kSVC_ESM-3,0.1,random_split,0.755,0.016,0.099,0.062,0.241,0.057,0.269,0.054,0.22,0.06,0.201,0.018,0.546,0.03,0.238,0.016
RF_ESM-3,0.1,levenshtein_sequence_based,0.836,0.04,-0.003,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.04,0.5,0.0,0.191,0.05
GBoost_ESM-3,0.1,levenshtein_sequence_based,0.83,0.036,0.021,0.03,0.031,0.027,0.186,0.12,0.018,0.016,0.166,0.038,0.504,0.006,0.238,0.062
RF_ESM-3,0.1,random_split,0.9,0.007,0.621,0.029,0.63,0.033,0.921,0.009,0.48,0.037,0.535,0.031,0.735,0.019,0.711,0.03
GBoost_ESM-3,0.1,random_split,0.898,0.007,0.612,0.03,0.642,0.03,0.852,0.022,0.516,0.032,0.526,0.031,0.748,0.017,0.711,0.021
