Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-3,0.05,levenshtein_sequence_based,0.779,0.05,0.242,0.151,0.363,0.163,0.374,0.223,0.397,0.169,0.26,0.15,0.619,0.064,0.365,0.152
kSVC_ESM-3,0.05,levenshtein_sequence_based,0.734,0.045,-0.018,0.038,0.093,0.043,0.137,0.043,0.117,0.098,0.174,0.081,0.498,0.018,0.174,0.088
LogReg_ESM-3,0.05,random_split,0.816,0.012,0.468,0.03,0.57,0.023,0.488,0.024,0.686,0.022,0.391,0.022,0.765,0.016,0.692,0.016
kSVC_ESM-3,0.05,random_split,0.784,0.009,0.152,0.041,0.267,0.04,0.337,0.042,0.222,0.038,0.215,0.014,0.564,0.018,0.246,0.021
RF_ESM-3,0.05,levenshtein_sequence_based,0.824,0.093,0.119,0.097,0.076,0.045,0.699,0.325,0.042,0.026,0.197,0.072,0.515,0.018,0.279,0.097
GBoost_ESM-3,0.05,levenshtein_sequence_based,0.808,0.09,0.085,0.063,0.13,0.057,0.353,0.136,0.087,0.043,0.189,0.075,0.523,0.021,0.242,0.089
RF_ESM-3,0.05,random_split,0.895,0.003,0.597,0.016,0.601,0.014,0.924,0.031,0.445,0.015,0.51,0.016,0.719,0.007,0.706,0.016
GBoost_ESM-3,0.05,random_split,0.892,0.005,0.588,0.021,0.62,0.013,0.833,0.036,0.494,0.006,0.501,0.02,0.736,0.005,0.686,0.013
