Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-3,0.05,levenshtein_sequence_based,0.834,0.034,0.355,0.046,0.442,0.055,0.415,0.085,0.503,0.103,0.278,0.067,0.697,0.046,0.519,0.055
kSVC_ESM-3,0.05,levenshtein_sequence_based,0.813,0.041,0.132,0.063,0.218,0.056,0.278,0.099,0.207,0.088,0.172,0.055,0.562,0.039,0.244,0.077
LogReg_ESM-3,0.05,random_split,0.892,0.005,0.647,0.011,0.699,0.009,0.606,0.018,0.827,0.021,0.527,0.012,0.865,0.007,0.764,0.024
kSVC_ESM-3,0.05,random_split,0.838,0.013,0.313,0.062,0.401,0.056,0.456,0.059,0.36,0.057,0.264,0.034,0.642,0.03,0.339,0.019
RF_ESM-3,0.05,levenshtein_sequence_based,0.883,0.054,0.413,0.125,0.35,0.143,0.918,0.032,0.226,0.12,0.325,0.087,0.612,0.06,0.592,0.053
GBoost_ESM-3,0.05,levenshtein_sequence_based,0.892,0.05,0.479,0.114,0.463,0.119,0.835,0.061,0.33,0.122,0.379,0.086,0.66,0.062,0.581,0.051
RF_ESM-3,0.05,random_split,0.934,0.004,0.721,0.019,0.746,0.02,0.888,0.023,0.644,0.034,0.625,0.022,0.815,0.016,0.807,0.03
GBoost_ESM-3,0.05,random_split,0.935,0.003,0.729,0.014,0.759,0.017,0.861,0.017,0.68,0.037,0.633,0.016,0.83,0.016,0.814,0.026
