Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-3,0.1,levenshtein_sequence_based,0.792,0.065,0.227,0.155,0.333,0.153,0.323,0.162,0.383,0.111,0.224,0.106,0.622,0.075,0.285,0.141
kSVC_ESM-3,0.1,levenshtein_sequence_based,0.831,0.058,0.125,0.149,0.187,0.154,0.275,0.222,0.175,0.132,0.183,0.104,0.558,0.061,0.268,0.147
LogReg_ESM-3,0.1,random_split,0.892,0.005,0.647,0.011,0.699,0.009,0.606,0.018,0.827,0.021,0.527,0.012,0.865,0.007,0.764,0.024
kSVC_ESM-3,0.1,random_split,0.838,0.013,0.313,0.062,0.401,0.056,0.456,0.059,0.36,0.057,0.264,0.034,0.642,0.03,0.339,0.019
RF_ESM-3,0.1,levenshtein_sequence_based,0.858,0.071,-0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.07,0.5,0.001,0.238,0.107
GBoost_ESM-3,0.1,levenshtein_sequence_based,0.852,0.072,0.009,0.067,0.025,0.031,0.142,0.233,0.015,0.018,0.145,0.071,0.502,0.01,0.228,0.127
RF_ESM-3,0.1,random_split,0.934,0.004,0.721,0.019,0.746,0.02,0.888,0.023,0.644,0.034,0.625,0.022,0.815,0.016,0.807,0.03
GBoost_ESM-3,0.1,random_split,0.935,0.003,0.729,0.014,0.759,0.017,0.861,0.017,0.68,0.037,0.633,0.016,0.83,0.016,0.814,0.026
