Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-3,0.05,levenshtein_sequence_based,0.83,0.022,0.463,0.062,0.542,0.067,0.476,0.11,0.668,0.092,0.366,0.07,0.765,0.034,0.58,0.106
kSVC_ESM-3,0.05,levenshtein_sequence_based,0.84,0.017,0.269,0.131,0.326,0.137,0.47,0.158,0.275,0.151,0.25,0.079,0.61,0.069,0.376,0.122
LogReg_ESM-3,0.05,random_split,0.875,0.019,0.611,0.039,0.667,0.034,0.56,0.045,0.826,0.019,0.489,0.04,0.855,0.015,0.742,0.017
kSVC_ESM-3,0.05,random_split,0.872,0.006,0.431,0.04,0.489,0.042,0.612,0.03,0.409,0.05,0.34,0.03,0.681,0.024,0.446,0.044
RF_ESM-3,0.05,levenshtein_sequence_based,0.872,0.028,0.371,0.088,0.316,0.114,0.874,0.027,0.199,0.086,0.297,0.071,0.597,0.042,0.597,0.088
GBoost_ESM-3,0.05,levenshtein_sequence_based,0.881,0.028,0.441,0.106,0.445,0.133,0.759,0.061,0.333,0.143,0.355,0.093,0.657,0.068,0.593,0.094
RF_ESM-3,0.05,random_split,0.926,0.007,0.684,0.032,0.707,0.035,0.875,0.021,0.595,0.047,0.582,0.036,0.79,0.023,0.785,0.023
GBoost_ESM-3,0.05,random_split,0.93,0.008,0.709,0.036,0.741,0.031,0.846,0.043,0.661,0.033,0.611,0.042,0.82,0.017,0.798,0.015
